Wall time,Step,Value
1557205479.757646,1,10.0
1557205480.835728,2,20.0
1557205481.476155,3,32.0
1557205482.063273,4,42.0
1557205482.969482,5,52.0
1557205483.948747,6,62.0
1557205486.675833,7,72.0
1557205488.91186,8,82.0
1557205489.570387,9,92.0
1557205491.408115,10,104.0
1557205493.927978,11,116.0
1557205495.044801,12,126.0
1557205496.101897,13,136.0
1557205496.99981,14,146.0
1557205497.709914,15,157.0
1557205498.4216,16,167.0
1557205499.486572,17,177.0
1557205501.291185,18,187.0
1557205501.939449,19,197.0
1557205502.615793,20,207.0
1557205503.382547,21,217.0
1557205504.072249,22,227.0
1557205505.191983,23,238.0
1557205508.081258,24,248.0
1557205509.279396,25,260.0
1557205510.482332,26,272.0
1557205511.376203,27,282.0
1557205512.571996,28,292.0
1557205513.77248,29,302.0
1557205514.958585,30,313.0
1557205515.761985,31,323.0
1557205516.60654,32,333.0
1557205517.85009,33,343.0
1557205518.650669,34,353.0
1557205519.884765,35,363.0
1557205520.757069,36,373.0
1557205522.038214,37,383.0
1557205523.009412,38,395.0
1557205523.972182,39,405.0
1557205524.979985,40,417.0
1557205526.767281,41,427.0
1557205528.074349,42,437.0
1557205529.353457,43,447.0
1557205530.638365,44,457.0
1557205531.94217,45,467.0
1557205532.903969,46,477.0
1557205533.878194,47,487.0
1557205535.223794,48,497.0
1557205536.23804,49,507.0
1557205537.607179,50,517.0
1557205538.588675,51,527.0
1557205539.943545,52,538.0
1557205541.342678,53,549.0
1557205542.340009,54,559.0
1557205543.71525,55,569.0
1557205544.769911,56,579.0
1557205545.868702,57,589.0
1557205546.963325,58,599.0
1557205548.169445,59,609.0
1557205549.497264,60,619.0
1557205550.644218,61,629.0
1557205551.800037,62,639.0
1557205553.21881,63,649.0
1557205554.356798,64,659.0
1557205555.883312,65,671.0
1557205557.856656,66,681.0
1557205559.380763,67,691.0
1557205560.977891,68,701.0
1557205562.468658,69,712.0
1557205563.958992,70,722.0
1557205565.457074,71,732.0
1557205566.964507,72,742.0
1557205568.486486,73,752.0
1557205569.643948,74,762.0
1557205571.673083,75,772.0
1557205572.748913,76,782.0
1557205574.001548,77,792.0
1557205575.391239,78,804.0
1557205576.629957,79,816.0
1557205577.936496,80,826.0
1557205579.469653,81,836.0
1557205580.753111,82,848.0
1557205581.898081,83,858.0
1557205583.990375,84,868.0
1557205585.243658,85,878.0
1557205586.526753,86,888.0
1557205588.712935,87,898.0
1557205590.356109,88,908.0
1557205591.963947,89,918.0
1557205593.558189,90,928.0
1557205595.178972,91,938.0
1557205596.48459,92,948.0
1557205597.658548,93,958.0
1557205598.96991,94,968.0
1557205600.45543,95,978.0
1557205602.155864,96,988.0
1557205603.869627,97,998.0
1557205605.193276,98,1008.0
1557205606.613445,99,1018.0
1557205608.045127,100,1028.0
1557205612.60725,101,1038.0
1557205614.061058,102,1050.0
1557205615.771536,103,1060.0
1557205617.485847,104,1070.0
1557205618.94305,105,1080.0
1557205620.693788,106,1090.0
1557205622.080664,107,1100.0
1557205623.812105,108,1110.0
1557205625.593469,109,1120.0
1557205627.075635,110,1131.0
1557205628.875895,111,1141.0
1557205630.463735,112,1151.0
1557205631.917449,113,1163.0
1557205633.703188,114,1173.0
1557205635.494761,115,1183.0
1557205636.943538,116,1193.0
1557205638.747429,117,1203.0
1557205640.574281,118,1213.0
1557205642.407402,119,1223.0
1557205643.841263,120,1233.0
1557205645.685626,121,1243.0
1557205647.550585,122,1253.0
1557205649.01796,123,1263.0
1557205650.865719,124,1273.0
1557205652.714491,125,1283.0
1557205654.65625,126,1293.0
1557205656.170399,127,1303.0
1557205658.585114,128,1315.0
1557205660.236526,129,1326.0
1557205661.939384,130,1336.0
1557205663.870417,131,1346.0
1557205665.428928,132,1356.0
1557205667.355821,133,1366.0
1557205669.300652,134,1378.0
1557205670.857176,135,1388.0
1557205672.821793,136,1400.0
1557205674.789439,137,1410.0
1557205676.366015,138,1420.0
1557205677.986075,139,1430.0
1557205680.017003,140,1440.0
1557205681.748742,141,1450.0
1557205683.733101,142,1460.0
1557205685.420649,143,1470.0
1557205687.02003,144,1480.0
1557205689.021234,145,1490.0
1557205691.07367,146,1500.0
1557205693.110137,147,1510.0
1557205695.154186,148,1522.0
1557205697.186207,149,1534.0
1557205699.009439,150,1544.0
1557205701.082677,151,1554.0
1557205702.752824,152,1564.0
1557205704.463445,153,1574.0
1557205706.550011,154,1584.0
1557205708.624136,155,1594.0
1557205710.377898,156,1604.0
1557205712.49048,157,1614.0
1557205714.245085,158,1624.0
1557205716.378373,159,1636.0
1557205718.486985,160,1646.0
