Wall time,Step,Value
1557205479.757678,1,52.0
1557205480.835769,2,106.0
1557205481.47619,3,164.0
1557205482.063304,4,216.0
1557205482.969514,5,272.0
1557205483.948777,6,326.0
1557205486.675856,7,378.0
1557205488.911877,8,430.0
1557205489.57041,9,484.0
1557205491.408144,10,546.0
1557205493.928018,11,610.0
1557205495.044816,12,666.0
1557205496.101914,13,718.0
1557205496.999825,14,770.0
1557205497.709931,15,825.0
1557205498.421628,16,873.0
1557205499.486587,17,925.0
1557205501.291216,18,979.0
1557205501.939471,19,1027.0
1557205502.615882,20,1083.0
1557205503.382563,21,1139.0
1557205504.072276,22,1189.0
1557205505.192003,23,1246.0
1557205508.081277,24,1298.0
1557205509.279417,25,1364.0
1557205510.482348,26,1428.0
1557205511.376222,27,1486.0
1557205512.572057,28,1538.0
1557205513.772495,29,1592.0
1557205514.958604,30,1649.0
1557205515.762091,31,1699.0
1557205516.606557,32,1751.0
1557205517.850104,33,1799.0
1557205518.650696,34,1849.0
1557205519.884787,35,1909.0
1557205520.757088,36,1961.0
1557205522.038231,37,2013.0
1557205523.009433,38,2077.0
1557205523.972204,39,2129.0
1557205524.98,40,2187.0
1557205526.767298,41,2235.0
1557205528.074366,42,2293.0
1557205529.353473,43,2343.0
1557205530.638381,44,2393.0
1557205531.942187,45,2449.0
1557205532.903989,46,2501.0
1557205533.878221,47,2557.0
1557205535.223811,48,2605.0
1557205536.238056,49,2657.0
1557205537.607194,50,2709.0
1557205538.58869,51,2757.0
1557205539.943574,52,2818.0
1557205541.342702,53,2875.0
1557205542.340027,54,2929.0
1557205543.715325,55,2979.0
1557205544.769925,56,3033.0
1557205545.868727,57,3087.0
1557205546.963347,58,3141.0
1557205548.169466,59,3197.0
1557205549.497333,60,3251.0
1557205550.644244,61,3299.0
1557205551.800054,62,3353.0
1557205553.218849,63,3407.0
1557205554.356814,64,3461.0
1557205555.883391,65,3523.0
1557205557.856678,66,3575.0
1557205559.380781,67,3629.0
1557205560.977908,68,3677.0
1557205562.468688,69,3740.0
1557205563.95901,70,3788.0
1557205565.457091,71,3840.0
1557205566.964523,72,3890.0
1557205568.486503,73,3942.0
1557205569.643964,74,3996.0
1557205571.673098,75,4044.0
1557205572.748929,76,4096.0
1557205574.001612,77,4152.0
1557205575.391271,78,4218.0
1557205576.629973,79,4282.0
1557205577.936524,80,4340.0
1557205579.469682,81,4396.0
1557205580.753125,82,4456.0
1557205581.898097,83,4512.0
1557205583.990393,84,4572.0
1557205585.243674,85,4624.0
1557205586.526769,86,4674.0
1557205588.712957,87,4726.0
1557205590.356179,88,4780.0
1557205591.963962,89,4834.0
1557205593.558204,90,4882.0
1557205595.17899,91,4934.0
1557205596.484624,92,4984.0
1557205597.658567,93,5032.0
1557205598.969925,94,5082.0
1557205600.455446,95,5140.0
1557205602.15589,96,5196.0
1557205603.869642,97,5250.0
1557205605.193294,98,5302.0
1557205606.613478,99,5354.0
1557205608.045162,100,5408.0
1557205612.607268,101,5466.0
1557205614.061074,102,5530.0
1557205615.771553,103,5580.0
1557205617.485883,104,5632.0
1557205618.943073,105,5688.0
1557205620.693813,106,5738.0
1557205622.080679,107,5786.0
1557205623.812121,108,5840.0
1557205625.593486,109,5890.0
1557205627.07573,110,5947.0
1557205628.875911,111,6001.0
1557205630.46375,112,6057.0
1557205631.917464,113,6115.0
1557205633.703204,114,6171.0
1557205635.494776,115,6223.0
1557205636.943554,116,6275.0
1557205638.747464,117,6325.0
1557205640.574347,118,6373.0
1557205642.407417,119,6431.0
1557205643.841281,120,6481.0
1557205645.685644,121,6537.0
1557205647.550602,122,6585.0
1557205649.017987,123,6639.0
1557205650.865795,124,6689.0
1557205652.714519,125,6741.0
1557205654.656269,126,6789.0
1557205656.170417,127,6843.0
1557205658.585179,128,6909.0
1557205660.236544,129,6966.0
1557205661.939421,130,7016.0
1557205663.870432,131,7064.0
1557205665.428944,132,7118.0
1557205667.355836,133,7166.0
1557205669.300715,134,7224.0
1557205670.857197,135,7278.0
1557205672.821807,136,7340.0
1557205674.789462,137,7394.0
1557205676.366047,138,7452.0
1557205677.98609,139,7506.0
1557205680.01702,140,7560.0
1557205681.748758,141,7612.0
1557205683.733118,142,7664.0
1557205685.420664,143,7718.0
1557205687.020049,144,7768.0
1557205689.021268,145,7824.0
1557205691.073686,146,7878.0
1557205693.110153,147,7926.0
1557205695.154205,148,7988.0
1557205697.186236,149,8050.0
1557205699.009457,150,8104.0
1557205701.082695,151,8156.0
1557205702.75284,152,8212.0
1557205704.463476,153,8268.0
1557205706.550029,154,8320.0
1557205708.624153,155,8372.0
1557205710.377914,156,8424.0
1557205712.490497,157,8476.0
1557205714.2451,158,8530.0
1557205716.378389,159,8592.0
1557205718.487002,160,8644.0
1557205720.603683,161,8696.0
1557205722.418083,162,8748.0
1557205724.550889,163,8802.0
1557205726.394434,164,8856.0
1557205729.08007,165,8906.0
1557205730.898159,166,8966.0
1557205733.081919,167,9022.0
1557205735.773606,168,9070.0
1557205737.612199,169,9120.0
1557205739.774015,170,9170.0
1557205741.662162,171,9222.0
1557205744.39097,172,9276.0
1557205746.598634,173,9332.0
1557205748.481056,174,9388.0
1557205750.697035,175,9436.0
1557205752.868339,176,9495.0
1557205754.782516,177,9551.0
1557205756.53227,178,9601.0
1557205758.785698,179,9653.0
1557205760.951032,180,9705.0
1557205762.913815,181,9757.0
1557205764.890369,182,9813.0
1557205767.1584,183,9865.0
1557205769.085873,184,9917.0
1557205771.391622,185,9969.0
1557205773.68928,186,10021.0
1557205775.623752,187,10081.0
1557205777.524066,188,10131.0
1557205779.453332,189,10179.0
1557205781.703697,190,10229.0
1557205783.603139,191,10285.0
1557205786.469164,192,10335.0
1557205788.836072,193,10393.0
1557205790.717091,194,10443.0
1557205792.991332,195,10499.0
1557205795.189744,196,10555.0
1557205797.279028,197,10605.0
1557205799.369351,198,10663.0
1557205801.872073,199,10715.0
1557205804.222151,200,10775.0
1557205806.683375,201,10775.0
1557205809.175724,202,10775.0
1557205811.197518,203,10775.0
1557205813.678574,204,10775.0
1557205815.817748,205,10775.0
1557205817.839428,206,10775.0
1557205820.361966,207,10775.0
1557205822.678388,208,10779.0
1557205825.667385,209,10779.0
1557205828.159938,210,10779.0
1557205831.553005,211,10779.0
1557205833.965875,212,10779.0
1557205836.134868,213,10779.0
1557205838.239782,214,10779.0
1557205840.292277,215,10779.0
1557205842.766352,216,10779.0
1557205846.015304,217,10779.0
1557205848.227956,218,10779.0
1557205850.228092,219,10779.0
1557205852.618171,220,10779.0
1557205854.946094,221,10779.0
1557205859.852799,222,10779.0
1557205863.144788,223,10779.0
1557205865.209658,224,10779.0
1557205868.461739,225,10779.0
1557205870.908643,226,10784.0
1557205873.398375,227,10784.0
1557205876.392016,228,10784.0
1557205878.437349,229,10784.0
1557205884.302696,230,10784.0
1557205886.700681,231,10784.0
1557205889.75969,232,10784.0
1557205892.754501,233,10784.0
1557205895.692396,234,10784.0
1557205898.571719,235,10784.0
1557205900.783435,236,10784.0
1557205904.515923,237,10784.0
1557205907.822046,238,10784.0
1557205910.269429,239,10784.0
1557205912.789052,240,10784.0
1557205915.022753,241,10784.0
1557205917.062879,242,10792.0
1557205924.804404,243,10792.0
1557205930.178289,244,10792.0
1557205932.653958,245,10792.0
1557205935.026768,246,10792.0
1557205937.46247,247,10792.0
1557205940.899549,248,10792.0
1557205942.988415,249,10792.0
1557205945.734242,250,10797.0
1557205948.105291,251,10797.0
1557205951.9991,252,10797.0
1557205957.140632,253,10797.0
1557205960.03042,254,10797.0
1557205963.68076,255,10797.0
1557205965.782283,256,10797.0
1557205970.079518,257,10806.0
1557205974.995095,258,10807.0
1557205977.696188,259,10807.0
1557205979.752185,260,10807.0
1557205983.536759,261,10807.0
1557205985.53706,262,10807.0
1557205991.225271,263,10807.0
1557205996.364373,264,10807.0
1557205999.318216,265,10807.0
1557206001.806938,266,10807.0
1557206004.957994,267,10807.0
1557206009.179386,268,10807.0
1557206013.430527,269,10807.0
1557206017.320774,270,10807.0
1557206022.150151,271,10807.0
1557206025.654721,272,10807.0
1557206028.12181,273,10807.0
1557206030.271086,274,10807.0
1557206032.86237,275,10807.0
1557206035.517399,276,10807.0
1557206038.109233,277,10807.0
1557206041.250887,278,10807.0
1557206043.540266,279,10813.0
1557206046.546224,280,10813.0
1557206048.725466,281,10813.0
1557206056.511772,282,10813.0
1557206060.734283,283,10813.0
1557206063.794825,284,10813.0
1557206065.880965,285,10813.0
1557206070.223181,286,10813.0
1557206073.293169,287,10813.0
1557206076.585549,288,10813.0
1557206079.81537,289,10813.0
1557206081.967668,290,10813.0
1557206085.114125,291,10813.0
1557206088.627726,292,10813.0
1557206091.128716,293,10818.0
1557206095.368577,294,10818.0
1557206097.525059,295,10818.0
1557206099.601278,296,10818.0
1557206105.390963,297,10818.0
1557206109.306536,298,10818.0
1557206113.107192,299,10818.0
1557206115.668831,300,10818.0
1557206120.557653,301,10818.0
1557206123.600911,302,10818.0
1557206127.712606,303,10818.0
1557206131.786454,304,10818.0
1557206137.326086,305,10818.0
1557206139.409588,306,10818.0
1557206142.403611,307,10818.0
1557206145.33986,308,10819.0
1557206147.885868,309,10819.0
1557206150.635993,310,10819.0
1557206152.694747,311,10819.0
1557206155.853975,312,10819.0
1557206158.832272,313,10819.0
1557206167.800482,314,10819.0
1557206170.381461,315,10819.0
1557206172.47882,316,10819.0
1557206175.486652,317,10819.0
1557206179.266712,318,10819.0
1557206183.606462,319,10819.0
1557206185.941143,320,10826.0
1557206193.584103,321,10826.0
1557206196.62919,322,10826.0
1557206200.499091,323,10830.0
1557206205.770708,324,10830.0
1557206209.297929,325,10830.0
1557206211.879782,326,10830.0
1557206218.790823,327,10831.0
1557206221.255087,328,10831.0
1557206223.699038,329,10831.0
1557206228.814311,330,10831.0
1557206238.399216,331,10831.0
1557206242.929963,332,10831.0
1557206245.386745,333,10844.0
1557206247.460221,334,10844.0
1557206252.168509,335,10844.0
1557206254.498797,336,10845.0
1557206256.890936,337,10853.0
1557206261.748121,338,10853.0
1557206270.77014,339,10855.0
1557206275.993627,340,10856.0
1557206278.695711,341,10856.0
1557206283.006682,342,10856.0
1557206290.715186,343,10856.0
1557206293.028523,344,10856.0
1557206296.900025,345,10856.0
1557206299.020947,346,10867.0
1557206306.228522,347,10867.0
1557206314.187238,348,10869.0
1557206317.482908,349,10869.0
1557206319.673961,350,10869.0
1557206325.885525,351,10869.0
1557206328.3221,352,10869.0
1557206338.241169,353,10870.0
1557206342.115614,354,10870.0
1557206344.394461,355,10870.0
1557206355.599276,356,10876.0
1557206357.731462,357,10876.0
1557206363.887252,358,10876.0
1557206367.369319,359,10876.0
1557206373.081707,360,10881.0
1557206379.894597,361,10881.0
1557206385.958188,362,10881.0
1557206392.035054,363,10881.0
1557206403.905001,364,10885.0
1557206406.419373,365,10885.0
1557206412.063519,366,10889.0
1557206414.726551,367,10889.0
1557206422.238874,368,10897.0
1557206426.285707,369,10897.0
1557206436.233871,370,10900.0
1557206442.91547,371,10900.0
1557206450.156003,372,10900.0
1557206452.469601,373,10900.0
1557206458.161538,374,10901.0
1557206462.889469,375,10911.0
1557206478.313802,376,10911.0
1557206485.501343,377,10913.0
1557206489.557171,378,10913.0
1557206493.043856,379,10914.0
1557206496.464608,380,10914.0
1557206505.124597,381,10914.0
1557206508.451509,382,10914.0
1557206514.617161,383,10914.0
1557206517.759363,384,10914.0
1557206521.458901,385,10914.0
1557206534.750922,386,10919.0
1557206545.654797,387,10924.0
1557206553.512603,388,10924.0
1557206562.927915,389,10935.0
1557206566.548979,390,10935.0
1557206593.598381,391,10939.0
1557206601.392573,392,10939.0
1557206612.155791,393,10939.0
1557206617.115873,394,10944.0
1557206620.185871,395,10949.0
1557206625.585032,396,10954.0
1557206632.416468,397,10955.0
1557206649.918524,398,10958.0
1557206663.359805,399,10958.0
1557206674.18925,400,10958.0
1557206677.33099,401,10958.0
1557206686.214909,402,10972.0
1557206700.285742,403,10973.0
1557206709.034362,404,10973.0
